高频词,词频
老师,179
没有,150
努力,93
下次,67
自己,67
还是,66
感觉,58
复习,57
作业,56
不够,54
这次,54
时间,53
...,52
需要,52
继续,52
问题,47
考试,46
但是,45
on,43
成绩,41
可以,41
希望,40
im,40
加油,39
in,39
分析,38
这个,37
觉得,36
re,35
有点,34
一些,34
the,34
to,33
应该,32
认真,31
时候,30
一下,30
will,30
比较,29
以后,29
不会,29
题目,29
as,28
我会,27
next,27
is,27
所以,27
好好,26
一定,26
真的,26
不知道,26
为什么,26
可能,25
不是,25
and,25
学习,24
有些,24
at,24
我的,23
很多,23
还有,23
就是,23
状态,23
对于,22
谢谢,22
我是,22
最后,21
什么,21
作者,21
做的,20
不太,20
my,20
一个,20
理解,20
内容,19
一次,19
而且,19
单词,19
分数,18
思考,18
qwq,18
知识,18
不错,18
因为,17
注意,17
怎么,17
不好,17
or,17
看到,17
答题,17
知识点,16
最近,16
练习,16
this,16
cl,16
better,16
英语,16
不能,15
速度,15
准备,15
数学,15
特别,15
做题,15
not,15
grade,15
主要,14
哈哈哈,14
......,14
虽然,14
学案,14
发现,14
天赋,14
上课,13
更加,13
哈哈哈哈,13
好多,13
一点,13
并且,13
提高,13
地方,13
第一,13
有的,13
an,13
原因,13
预习,13
不过,13
文章,13
孩子,13
熟悉,12
那么,12
其实,12
然后,12
方法,12
掌握,12
知道,12
be,12
are,12
do,12
que,12
sti,12
意思,12
这种,12
第二,12
更好,11
卷子,11
这么,11
为啥,11
已经,11
那个,11
try,11
can,11
导致,11
情况,11
第一次,11
请问,11
you,11
me,11
that,11
ha,11
for,11
运气,11
好的,11
之后,11
背单词,11
表达,11
这样,11
开心,10
争取,10
明白,10
提交,10
熟练,10
进行,10
检查,10
保持,10
现在,10
best,10
粗心,10
清楚,10
出来,10
之前,10
啊啊啊,10
思路,10
非常,10
get,10
ie,10
it,10
more,10
part,10
icip,10
实验,10
要求,10
想到,10
很好,10
东西,10
课上,9
是不是,9
仔细,9
十分,9
so,9
忘记,9
